census_subdivision_id,province_id,municipality_name,type,province,search_terms,page_url
5903019,59,Slocan,Village,British Columbia, Slocan Village British Columbia Annual Reports,http://www.slocancity.com/wp-content/uploads/2023/05/Annual-Report-2022.pdf
5951043,59,Smithers,Town,British Columbia, Smithers Town British Columbia Annual Reports,https://www.smithers.ca/town-hall/policies/annual-report
5917052,59,Sooke,District,British Columbia, Sooke District British Columbia Annual Reports,https://www.sooke.ca/municipal-hall/budget-and-finance/financial-plans-and-reports/
5937024,59,Spallumcheen,Township,British Columbia, Spallumcheen Township British Columbia Annual Reports,https://spallumcheen.civicweb.net/filepro/documents/7032/
5901006,59,Sparwood,District,British Columbia, Sparwood District British Columbia Annual Reports,https://sparwood.civicweb.net/filepro/documents/48923/
5931006,59,Squamish,District,British Columbia, Squamish District British Columbia Annual Reports,https://squamish.ca/government-and-administration/financial-services/budget-financial-statements-and-annual-reports/
BC_RD_24,59,Squamish-Lillooet,Regional District,British Columbia, Squamish-Lillooet Regional District British Columbia Annual Reports,https://www.slrd.bc.ca/services/financial-services/financial-plans-statements
5949032,59,Stewart,District,British Columbia, Stewart District British Columbia Annual Reports,https://districtofstewart.com/district-hall/district-publications/reports
BC_RD_25,59,Strathcona,Regional District,British Columbia, Strathcona Regional District British Columbia Annual Reports,https://srd.ca/government/finance/financial-reporting/
5907035,59,Summerland,District,British Columbia, Summerland District British Columbia Annual Reports,https://www.summerland.ca/your-city-hall/reports-studies
5933050,59,Sun Peaks,Mountain Resort Municipality,British Columbia, Sun Peaks Mountain Resort Municipality British Columbia Annual Reports,https://sunpeaksmunicipality.ca/municipal-hall/finance-and-taxes/financial-plans-and-reports
BC_RD_26,59,Sunshine Coast,Regional District,British Columbia, Sunshine Coast Regional District British Columbia Annual Reports,https://www.scrd.ca/annual-reports/
5915004,59,Surrey,City,British Columbia, Surrey City British Columbia Annual Reports,https://www.surrey.ca/city-government/city-departments/finance/financial-documents
5924030,59,Tahsis,Village,British Columbia, Tahsis Village British Columbia Annual Reports,https://villageoftahsis.com/finance-and-other-reports/
5955030,59,Taylor,District,British Columbia, Taylor District British Columbia Annual Reports,https://districtoftaylor.com/wp-content/uploads/2022/05/District-of-Taylor-2021-Annual-Report-and-Consolidated-Financial-Statements.pdf
5951038,59,Telkwa,Village,British Columbia, Telkwa Village British Columbia Annual Reports,https://www.telkwa.ca/reports-and-budgets
5949011,59,Terrace,City,British Columbia, Terrace City British Columbia Annual Reports,https://www.terrace.ca/city-services/finance-taxation
BC_RD_27,59,Thompson-Nicola,Regional District,British Columbia, Thompson-Nicola Regional District British Columbia Annual Reports,https://www.tnrd.ca/services/budget-finance/financial-reports/
5923025,59,Tofino,District,British Columbia, Tofino District British Columbia Annual Reports,https://tofino.ca/your-government/reports-plans/
5905014,59,Trail,City,British Columbia, Trail City British Columbia Annual Reports,https://trail.ca/en/inside-city-hall/reports-and-publications.aspx
5955003,59,Tumbler Ridge,District,British Columbia, Tumbler Ridge District British Columbia Annual Reports,https://www.districtoftumblerridge.ca/p/reports
5923019,59,Ucluelet,District,British Columbia, Ucluelet District British Columbia Annual Reports,https://ucluelet.ca/government/finance/financial-reports/
5953007,59,Valemount,Village,British Columbia, Valemount Village British Columbia Annual Reports,https://valemount.ca/village-office/documents-publications/financial-reports/
5915022,59,Vancouver,City,British Columbia, Vancouver City British Columbia Annual Reports,https://vancouver.ca/your-government/financial-reports-and-information.aspx
5951007,59,Vanderhoof,District,British Columbia, Vanderhoof District British Columbia Annual Reports,https://vanderhoof.civicweb.net/filepro/documents/75810/
5937014,59,Vernon,City,British Columbia, Vernon City British Columbia Annual Reports,https://www.vernon.ca/government-services/departments/financial-services/financial-statements-annual-reports
5917034,59,Victoria,City,British Columbia, Victoria City British Columbia Annual Reports,https://www.victoria.ca/city-government/strategic-plan/annual-report
5917047,59,View Royal,Town,British Columbia, View Royal Town British Columbia Annual Reports,https://www.viewroyal.ca/EN/main/town/documents/reportsplans.html
5905018,59,Warfield,Village,British Columbia, Warfield Village British Columbia Annual Reports,https://warfield.ca/village-office/finance/
5941025,59,Wells,District,British Columbia, Wells District British Columbia Annual Reports,https://www.wells.ca/district-wells/financial-reports
5935029,59,West Kelowna,City,British Columbia, West Kelowna City British Columbia Annual Reports,https://www.westkelownacity.ca/en/our-community/annual-report-and-financial-statements.aspx
5915055,59,West Vancouver,District,British Columbia, West Vancouver District British Columbia Annual Reports,https://westvancouver.ca/government-administration/strategies-reports/reports/annual-reports
5931020,59,Whistler,Resort Municipality,British Columbia, Whistler Resort Municipality British Columbia Annual Reports,https://www.whistler.ca/mayor-council/strategies-and-plans/financial-plans-and-reports/
5915007,59,White Rock,City,British Columbia, White Rock City British Columbia Annual Reports,https://www.whiterockcity.ca/1117/Reports-Plans
5941009,59,Williams Lake,City,British Columbia, Williams Lake City British Columbia Annual Reports,https://www.williamslake.ca/Archive.aspx?AMID=41
5924029,59,Zeballos,Village,British Columbia, Zeballos Village British Columbia Annual Reports,https://www.zeballos.com/home/municipal-services/reports-and-plans/
